,anchor,positive,negative
0,254c3a5b8.jpg,6b6959e1a.jpg,cdcacd8d0.jpg
1,8c72b80e9.jpg,6b6959e1a.jpg,36129cf58.jpg
2,633d7b877.jpg,6b6959e1a.jpg,91560360c.jpg
3,8c72b80e9.jpg,254c3a5b8.jpg,4450eec40.jpg
4,8c72b80e9.jpg,633d7b877.jpg,68001292e.jpg
5,254c3a5b8.jpg,633d7b877.jpg,4c0ca9d94.jpg
6,1783ad1c3.jpg,4696b53f7.jpg,1d84d5906.jpg
7,4b227fe93.jpg,0eec912c8.jpg,b78979631.jpg
8,ebdd6652b.jpg,133a264f6.jpg,d46e56de8.jpg
9,5e8f3a16b.jpg,a9ba301a3.jpg,48801af53.jpg
10,5f37a8fb3.jpg,b457e92f3.jpg,79ccf780e.jpg
11,5f37a8fb3.jpg,86d4ad12e.jpg,18e8b2579.jpg
12,5e8f3a16b.jpg,bc445bfc6.jpg,89d5305d4.jpg
13,5f37a8fb3.jpg,484518aed.jpg,383d3bb72.jpg
14,484518aed.jpg,85a353317.jpg,4d830aee3.jpg
15,5f37a8fb3.jpg,133a264f6.jpg,655bd57fc.jpg
16,8d4453e81.jpg,a9ba301a3.jpg,d405e3a34.jpg
17,a9ba301a3.jpg,0eec912c8.jpg,27cfb492a.jpg
18,daa5d920f.jpg,133a264f6.jpg,3fbf38c4f.jpg
19,8d4453e81.jpg,bc445bfc6.jpg,bc65d6e46.jpg
20,2d06946f9.jpg,c82ad7e31.jpg,f0572d3af.jpg
21,1783ad1c3.jpg,8d4453e81.jpg,544c35dd2.jpg
22,85a353317.jpg,c82ad7e31.jpg,3b1e12f53.jpg
23,b13389041.jpg,b457e92f3.jpg,96717bd25.jpg
24,ebdd6652b.jpg,86d4ad12e.jpg,86ea371bd.jpg
25,ebdd6652b.jpg,484518aed.jpg,1a7817b5c.jpg
26,85a353317.jpg,e46f88b1f.jpg,b140ade74.jpg
27,1783ad1c3.jpg,ec74372b2.jpg,c090d5417.jpg
28,a447dc6ae.jpg,4b227fe93.jpg,47071b59c.jpg
29,86d4ad12e.jpg,b3f95602b.jpg,aed8b06ec.jpg
30,a9ba301a3.jpg,c82ad7e31.jpg,bfe973be0.jpg
31,8d4453e81.jpg,b457e92f3.jpg,7a58d3118.jpg
32,1783ad1c3.jpg,c82ad7e31.jpg,a1a273900.jpg
33,484518aed.jpg,c8f66e8d8.jpg,7dc4b6055.jpg
34,484518aed.jpg,2d06946f9.jpg,2d9ed1c9f.jpg
35,b457e92f3.jpg,e46f88b1f.jpg,b0eb6f67f.jpg
36,b457e92f3.jpg,b3f95602b.jpg,356ec956e.jpg
37,b457e92f3.jpg,2c2076684.jpg,4e738f633.jpg
38,a447dc6ae.jpg,c8f66e8d8.jpg,172f0611b.jpg
39,b13389041.jpg,5dade3ee3.jpg,69285291b.jpg
40,5e8f3a16b.jpg,85a353317.jpg,ed1eddb95.jpg
41,a447dc6ae.jpg,5dade3ee3.jpg,65cd90035.jpg
42,8d4453e81.jpg,c8f66e8d8.jpg,ee4aa27b7.jpg
43,4696b53f7.jpg,e46f88b1f.jpg,c38f08459.jpg
44,b13389041.jpg,a447dc6ae.jpg,ec4fd7129.jpg
45,ec74372b2.jpg,e46f88b1f.jpg,e9280c18c.jpg
46,5e8f3a16b.jpg,1783ad1c3.jpg,1d21707c6.jpg
47,4b227fe93.jpg,a9ba301a3.jpg,ac706d43c.jpg
48,4b227fe93.jpg,bc445bfc6.jpg,945da1f44.jpg
49,5dade3ee3.jpg,a9ba301a3.jpg,4843cf6c7.jpg
50,bc445bfc6.jpg,0eec912c8.jpg,72080caad.jpg
51,86d4ad12e.jpg,484518aed.jpg,dd019c261.jpg
52,86d4ad12e.jpg,133a264f6.jpg,ba350c48c.jpg
53,5dade3ee3.jpg,bc445bfc6.jpg,8c1dc75c0.jpg
54,5cbc1f469.jpg,b3f95602b.jpg,e04ab1ba0.jpg
55,5cbc1f469.jpg,2c2076684.jpg,ab70f0115.jpg
56,484518aed.jpg,7e9c73f50.jpg,a6b175132.jpg
57,484518aed.jpg,e46f88b1f.jpg,6741b293d.jpg
58,ebdd6652b.jpg,5f37a8fb3.jpg,c8401ab6d.jpg
59,0eec912c8.jpg,c82ad7e31.jpg,3f55bca95.jpg
60,5e8f3a16b.jpg,c8f66e8d8.jpg,d0b96c2e9.jpg
61,5e8f3a16b.jpg,5cbc1f469.jpg,a11956dff.jpg
62,5e8f3a16b.jpg,2d06946f9.jpg,69d75b8a6.jpg
63,daa5d920f.jpg,4696b53f7.jpg,4dc67d9b2.jpg
64,b13389041.jpg,e46f88b1f.jpg,0758b8b8b.jpg
65,5f37a8fb3.jpg,4696b53f7.jpg,aec907ad2.jpg
66,4696b53f7.jpg,2c2076684.jpg,70c4e7684.jpg
67,b13389041.jpg,2c2076684.jpg,68a4ff4e2.jpg
68,bc445bfc6.jpg,ec74372b2.jpg,e5ca17b5b.jpg
69,728573c50.jpg,4696b53f7.jpg,92b13aa2c.jpg
70,a447dc6ae.jpg,7e9c73f50.jpg,17f12af8d.jpg
71,86d4ad12e.jpg,728573c50.jpg,8336c3836.jpg
72,a447dc6ae.jpg,e46f88b1f.jpg,fc72f2403.jpg
73,a447dc6ae.jpg,b3f95602b.jpg,278313517.jpg
74,a447dc6ae.jpg,2c2076684.jpg,eceefca95.jpg
75,5f37a8fb3.jpg,5dade3ee3.jpg,bc71d0c2f.jpg
76,5dade3ee3.jpg,b457e92f3.jpg,ebf74e5dc.jpg
77,5cbc1f469.jpg,ec74372b2.jpg,aba74d955.jpg
78,5cbc1f469.jpg,c82ad7e31.jpg,9b008cb14.jpg
79,5f37a8fb3.jpg,a447dc6ae.jpg,271c0c92f.jpg
80,daa5d920f.jpg,8d4453e81.jpg,bdb81f432.jpg
81,728573c50.jpg,b3f95602b.jpg,1c1a6c7ec.jpg
82,728573c50.jpg,2c2076684.jpg,f6f78039f.jpg
83,4696b53f7.jpg,ec74372b2.jpg,2f5f38e8b.jpg
84,ebdd6652b.jpg,4696b53f7.jpg,df2b6c364.jpg
85,2c2076684.jpg,e46f88b1f.jpg,603a0bec7.jpg
86,b13389041.jpg,4696b53f7.jpg,febb18625.jpg
87,4696b53f7.jpg,c82ad7e31.jpg,9f58e13d9.jpg
88,bc445bfc6.jpg,a9ba301a3.jpg,9794fe57d.jpg
89,5f37a8fb3.jpg,ec74372b2.jpg,4be30b531.jpg
90,728573c50.jpg,ec74372b2.jpg,b87526349.jpg
91,4b227fe93.jpg,5dade3ee3.jpg,bc52440b1.jpg
92,4b227fe93.jpg,85a353317.jpg,9f486ecdc.jpg
93,c8f66e8d8.jpg,c82ad7e31.jpg,9db9b9dde.jpg
94,728573c50.jpg,c82ad7e31.jpg,abadb0f69.jpg
95,484518aed.jpg,b457e92f3.jpg,4e3c286a5.jpg
96,5e8f3a16b.jpg,7e9c73f50.jpg,5b03ebeaa.jpg
97,b13389041.jpg,b3f95602b.jpg,506f96c18.jpg
98,c82ad7e31.jpg,7e9c73f50.jpg,700bc2bfc.jpg
99,ebdd6652b.jpg,8d4453e81.jpg,2c63ff756.jpg
100,c8f66e8d8.jpg,e46f88b1f.jpg,e810d6f94.jpg
101,5f37a8fb3.jpg,b3f95602b.jpg,e6ee41c71.jpg
102,8d4453e81.jpg,7e9c73f50.jpg,cba4a8d17.jpg
103,5f37a8fb3.jpg,2c2076684.jpg,8de67fd9e.jpg
104,8d4453e81.jpg,e46f88b1f.jpg,512a74c87.jpg
105,c8f66e8d8.jpg,b3f95602b.jpg,69f16b412.jpg
106,c8f66e8d8.jpg,2c2076684.jpg,2b6f03c7a.jpg
107,b13389041.jpg,ec74372b2.jpg,873852b37.jpg
108,1783ad1c3.jpg,728573c50.jpg,d13fc7a48.jpg
109,e46f88b1f.jpg,c82ad7e31.jpg,596fe9828.jpg
110,b13389041.jpg,c82ad7e31.jpg,3dbe31e3a.jpg
111,133a264f6.jpg,4696b53f7.jpg,8a05a853c.jpg
112,ebdd6652b.jpg,ec74372b2.jpg,dbcd6fe69.jpg
113,ebdd6652b.jpg,c82ad7e31.jpg,63f8e0a8e.jpg
114,daa5d920f.jpg,ec74372b2.jpg,206715dab.jpg
115,4b227fe93.jpg,c8f66e8d8.jpg,9cc67910f.jpg
116,4b227fe93.jpg,2d06946f9.jpg,81118b85c.jpg
117,daa5d920f.jpg,c82ad7e31.jpg,91a373ddc.jpg
118,5f37a8fb3.jpg,c82ad7e31.jpg,7796b3b95.jpg
119,86d4ad12e.jpg,4696b53f7.jpg,440fd7c82.jpg
120,5dade3ee3.jpg,c8f66e8d8.jpg,e8a37e2e0.jpg
121,133a264f6.jpg,2c2076684.jpg,f4af7d347.jpg
122,4b227fe93.jpg,7e9c73f50.jpg,9e658afa0.jpg
123,133a264f6.jpg,8d4453e81.jpg,2e30d47c8.jpg
124,a447dc6ae.jpg,484518aed.jpg,d53ac7b83.jpg
125,1783ad1c3.jpg,85a353317.jpg,5eb8d55cc.jpg
126,5e8f3a16b.jpg,b457e92f3.jpg,f2908ee96.jpg
127,1783ad1c3.jpg,5cbc1f469.jpg,f4b5c9a83.jpg
128,1783ad1c3.jpg,2d06946f9.jpg,36f990879.jpg
129,b13389041.jpg,133a264f6.jpg,e90d79193.jpg
130,b457e92f3.jpg,4696b53f7.jpg,49bf4801c.jpg
131,a447dc6ae.jpg,133a264f6.jpg,2d9ed1c9f.jpg
132,86d4ad12e.jpg,8d4453e81.jpg,2d183c062.jpg
133,a9ba301a3.jpg,7e9c73f50.jpg,253e7dadb.jpg
134,133a264f6.jpg,ec74372b2.jpg,bd3f7ba02.jpg
135,85a353317.jpg,ec74372b2.jpg,654951f81.jpg
136,86d4ad12e.jpg,ec74372b2.jpg,3a212556f.jpg
137,133a264f6.jpg,c82ad7e31.jpg,560a4ba05.jpg
138,b3f95602b.jpg,ec74372b2.jpg,175374a41.jpg
139,86d4ad12e.jpg,c82ad7e31.jpg,750d79aae.jpg
140,b3f95602b.jpg,c82ad7e31.jpg,c7c71f252.jpg
